rid,start,finish,answer_duration,ip,client_type,Q1,Q1_分中心编码,Q1_分中心,Q4__1,Q5__1,Q6,Q7,Q13,Q8__1,Q8__2,Q8__3,Q8__4,Q8__5,Q8__6,Q4__1__open2,Q5__1__open2,Q8__6__open,Q9__1,Q9__2,Q10__1,Q10__2,Q11__1,Q11__2,Q12__1,Q12__2,Q4__1_题项,Q5__1_题项,Q8__1_题项,Q8__2_题项,Q8__3_题项,Q8__4_题项,Q8__5_题项,Q8__6_题项,Q6_编码本选项文本,Q7_编码本选项文本,Q13_编码本选项文本,Q9__1_编码本选项文本,Q10__1_编码本选项文本,Q11__1_编码本选项文本,Q12__1_编码本选项文本
1533674,2026-04-04 17:15:37,2026-04-04 17:17:29,1分52秒,218.28.253.218,pc,9,9,郑州,5,5,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,无,无,暂无,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533675,2026-04-04 18:03:11,2026-04-04 18:05:09,1分58秒,111.59.8.190,pc,26,26,南宁,5,4,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533681,2026-04-05 10:13:07,2026-04-05 10:22:16,9分8秒,59.46.164.102,pc,23,23,大连,5,4,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,挺满意的一般需要都能满足,挺认可的，也有反映少儿课程孩子吸收的不好,没什么的，挺好的,没有,没有,没有,没有,课程配套资料很全，可以跟家长有介绍,搞一些比较直观的上课视频，和结果展示,没有,没有,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,一般,比较及时,非常及时,,,,
1533683,2026-04-05 11:05:17,2026-04-05 11:07:51,2分33秒,183.159.168.185,pc,15,15,杭州,5,5,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,好,无,好,无,好,无,好,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533686,2026-04-05 14:28:41,2026-04-05 14:30:44,2分2秒,58.248.66.54,pc,6,6,广州,4,4,2,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,是,还可以,,无,无,比较全面,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533690,2026-04-06 09:41:22,2026-04-06 09:44:32,3分9秒,60.208.101.226,pc,16,16,济南,5,5,3,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1,0,1,0,0,0,0,0,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,一般,不太及时,一般,表扬,表扬,,
1533691,2026-04-06 09:41:49,2026-04-06 09:44:56,3分7秒,124.72.60.142,pc,13,13,厦门,5,5,2,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,暂无,多增加课后内容,暂无,增加课时数,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533694,2026-04-06 09:53:26,2026-04-06 09:56:41,3分15秒,59.49.25.62,Android,20,20,太原,5,4,1,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,辅导+分数导向,价格降低,辅导+服务,价格降一下,内容好,无,内容好,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,一般,,,,
1533695,2026-04-06 10:01:45,2026-04-06 10:05:12,3分26秒,61.169.146.59,pc,1,1,上海,3,3,2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,有部分兴趣学会因为价格退缩,学生有的会跟不上，退单时间一般会压的长,,1,1,1,1,1,1,1,1,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,表扬,表扬,表扬,表扬
1533696,2026-04-06 10:06:57,2026-04-06 10:09:19,2分21秒,61.135.212.184,pc,2,2,北京,5,5,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,无,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533702,2026-04-06 16:20:16,2026-04-06 16:25:37,5分21秒,60.219.171.202,pc,27,27,哈尔滨,5,5,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,课程内容及班课和一对一搭配适合有针对性提升,课程安灵活度，和排班数量,暂无,暂无,适合低龄学生掌握初步的语言认知,N4内容,可灵活安排课程计划,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533705,2026-04-06 16:44:18,2026-04-06 16:49:06,4分48秒,111.59.8.190,pc,26,26,南宁,4,3,2,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,算符合，就是没有区分开留学和高考和兴趣学的群体,建议加强服务吧,,价格统一,服务没跟上，线下的宣传资料没有，都是顾问单嘴讲,价格统一，加了日语星球,还是要提升服务和资料没很丰富,挺好，主要没怎么卖过不知道产品问题,挺好，主要没怎么卖过不知道产品问题,整体线上课都不错，线下课问题多一些,整体线上课都不错，线下课问题多一些,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,一般,一般,,,,
1533706,2026-04-06 16:44:20,2026-04-06 16:46:48,2分27秒,49.90.72.142,Android,15,15,杭州,5,5,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,暂无,暂无,重读优势,暂无,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,非常及时,非常及时,,,,
1533708,2026-04-06 17:35:17,2026-04-06 17:37:23,2分6秒,58.218.49.90,pc,33,33,徐州,5,5,2,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,好,直播班课太少,好,无,好,价格有点高,好,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533710,2026-04-06 17:57:18,2026-04-06 17:59:30,2分12秒,59.36.210.130,pc,11,11,深圳,3,4,2,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,课时少,,,无,无,组合较好,课时太短,/,/,0,0,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533717,2026-04-07 09:43:39,2026-04-07 09:46:38,2分58秒,111.0.122.21,iPhone,15,15,杭州,5,5,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,暂无,更新最新的考级通过率和出分率,暂无,暂无,暂无,青少线下课程协助落地,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533718,2026-04-07 10:04:35,2026-04-07 10:06:33,1分57秒,112.17.173.96,pc,15,15,杭州,5,4,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,价格偏贵,,产品逻辑,具体地区产品对比,产品逻辑,具体地区竞品对比,产品逻辑,暂无,产品逻辑,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,非常及时,,,,
1533721,2026-04-07 10:42:21,2026-04-07 10:45:27,3分6秒,171.213.255.202,Android,4,4,成都,4,4,2,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,无,无,无,无,无,无,无,产品模糊,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533722,2026-04-07 10:45:55,2026-04-13 15:40:49,6天4时54分53秒,61.183.140.66,pc,7,7,武汉,5,4,1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,产品多样,能否加一个0-n3的,套餐合理, 增加0-n3,很好,能否安排一个小时的上课频率,很好,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,非常及时,,,,
1533732,2026-04-07 10:58:14,2026-04-07 11:06:19,8分5秒,111.59.8.190,pc,26,26,南宁,5,4,1,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,符合的,产品认可度是可以的，但是家长有时候还是会不满意学生的测试少，特别是高考日语的学生,,目前的产品需求都适配客户需求,暂无,都适配需求,暂无,都适配需求,暂无,都适配需求,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,比较及时,,,,
1533745,2026-04-07 14:29:17,2026-04-08 15:46:11,1天1时16分53秒,60.219.171.202,pc,27,27,哈尔滨,5,5,2,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,非常及时,,,,
1533753,2026-04-07 15:29:21,2026-04-07 15:31:04,1分42秒,1.83.221.61,pc,10,10,西安,5,5,2,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,是,是,,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,非常及时,,,,
1533761,2026-04-08 11:28:06,2026-04-08 11:29:49,1分42秒,58.218.49.90,pc,33,33,徐州,4,5,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533767,2026-04-08 14:15:25,2026-04-08 14:20:11,4分45秒,61.181.103.242,pc,12,12,天津,4,5,2,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,产品比较清晰,志高学员家长更想线下,不错吧,价位,学管维护的好,N5五个小级别有点多,搭配得不错，,但是给家长讲不太清晰,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,一般,比较及时,,,,
1533768,2026-04-08 14:22:05,2026-04-08 14:24:42,2分36秒,61.181.103.242,pc,12,12,天津,5,5,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,好,好,全国标化异地上课的实施,很好,无,很好,无,很好,无,很好,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533769,2026-04-08 14:24:11,2026-04-08 14:49:15,25分3秒,61.181.103.242,pc,12,12,天津,5,5,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,是,认可度很高,,非常好,无,挺好的,无,挺好的,无,挺好的,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533771,2026-04-08 14:53:14,2026-04-08 14:55:29,2分15秒,1.80.146.245,iPhone,10,10,西安,5,4,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,相对完善,无,暂无,暂无,无,无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533773,2026-04-08 14:56:06,2026-04-08 14:59:44,3分37秒,218.28.253.218,iPhone,9,9,郑州,4,4,2,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,全面,有高考真题汇总展示；分数汇总,很全面,无,优秀,体验课频次增加,全面,开班频次增加,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533774,2026-04-08 14:56:08,2026-04-08 14:58:36,2分27秒,36.43.192.181,iPhone,10,10,西安,4,4,2,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,老师对于高考内容及时更新,高考题库及时更新,无,无,互动性强 老师关注度高,暂无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533775,2026-04-08 14:56:22,2026-04-08 14:58:33,2分10秒,1.83.221.150,iPhone,10,10,西安,4,3,3,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,,家长觉得是在赶课时 不满意,,还可以,无,还可以,无,很不错 ,无,很灵活,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,一般,一般,比较及时,,,,
1533777,2026-04-08 15:03:16,2026-04-08 15:05:07,1分51秒,123.15.56.154,pc,9,9,郑州,5,5,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,无,无,,好,无,好,无,好,无,好,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533778,2026-04-08 15:14:14,2026-04-08 15:20:00,5分46秒,183.9.98.238,iPhone,6,6,广州,4,3,2,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,相比较全程班没有特别突出的优势,,未感受到特别点,学员对在线高考辅导接受度还是较低,未感受到特别,可捆绑留学生活的搭配课程,比较符合学员需求,无,性价比较高,产品介绍及内容理解度可能需要优化，需要垄长的介绍,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,一般,非常及时,,,,
1533779,2026-04-08 15:16:39,2026-04-08 15:37:23,20分43秒,58.248.66.54,pc,6,6,广州,5,4,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,暂无,小程序设计丰富多样化，界面适合学生,期待gk题库，以及增值类项目：如gk前百日冲刺题库、重点单词打卡等,整体设计、题目、小程序使用方式适合留学需求学生,暂无,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,非常及时,,,,
1533780,2026-04-08 15:17:01,2026-04-08 15:19:54,2分52秒,218.28.253.218,pc,9,9,郑州,5,5,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533781,2026-04-08 15:30:29,2026-04-08 17:05:55,1时35分25秒,116.113.69.190,pc,32,32,呼和浩特,4,4,2,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,定位清晰,实际效果参差不齐,产品定位清晰,对学生是否上课没有很严格的把控,低龄段有产品,产品更多元化些,没卖过,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,一般,,,,
1533782,2026-04-08 15:33:32,2026-04-08 15:38:28,4分56秒,123.184.130.235,Android,23,23,大连,4,4,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,很符合新东方产品定位,产品组合最好可以更灵活,产品灵活性比较好,课后服务配套可以再丰富一些,学生体验感很好,开班能多一些就更好了,产品针对性很好,课后学习支持可以更丰富一些,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533783,2026-04-08 15:35:52,2026-04-08 15:41:40,5分48秒,122.227.181.106,pc,41,41,宁波,5,5,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,满足,比较认可,暂无,好,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533784,2026-04-08 15:36:07,2026-04-08 15:39:34,3分26秒,119.62.102.251,pc,24,24,昆明,3,3,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,昆明学员基础普遍较弱，教师反馈标化课时不够,学生出分不是很好,,教学大纲清晰,课时变动,考前冲刺较好,课时问题,符合学生需求,无,符合学生需求,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,非常及时,,,,
1533786,2026-04-08 15:36:37,2026-04-08 15:38:53,2分16秒,58.248.66.54,iPhone,6,6,广州,4,4,2,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,基本上满足考试的需求,,学生是否学完能考过的问题，有待探讨,没售卖，暂无,暂无,产品内容比较完善,增加口语的内容,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533788,2026-04-08 15:36:58,2026-04-08 15:39:29,2分30秒,59.46.164.102,pc,23,23,大连,5,4,2,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,全面,认可 ,,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,非常及时,,,,
1533790,2026-04-08 15:37:53,2026-04-08 15:40:35,2分42秒,59.46.164.102,pc,23,23,大连,4,4,1,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,还好,还好,,好,无,好,无,好,无,好,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,非常及时,,,,
1533792,2026-04-08 15:38:40,2026-04-14 15:57:43,6天19分2秒,58.255.39.18,iPhone,42,42,东莞,4,4,2,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,不适合零基础,觉得贵,作业反馈，课后复习,表扬,无,表扬,无,老师课堂教授后,课后服务反馈及时,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533793,2026-04-08 15:39:54,2026-04-08 15:41:25,1分30秒,59.49.34.124,iPhone,20,20,太原,5,4,3,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,满意,价格高,,无,无,无,无,无,无,无,无k,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,一般,一般,一般,,,,
1533794,2026-04-08 15:40:56,2026-04-08 15:44:27,3分31秒,61.181.103.242,iPhone,12,12,天津,4,5,3,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,很好,可以多一些课程设置适合高一开始的，高二开始的各种套班,很好,多一些适合在职人员或者兴趣学习的线下标化产品,很好,有线下可以落地的教研资料,很好,也是需要收合线下的针对兴趣类的套班和教研资料,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,一般,一般,比较及时,,,,
1533795,2026-04-08 15:41:00,2026-04-08 15:52:10,11分9秒,218.28.159.54,pc,35,35,洛阳,5,4,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533796,2026-04-08 15:41:09,2026-04-08 15:43:14,2分4秒,58.218.49.90,pc,33,33,徐州,5,5,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,挺好,无,挺好,无,不错,无,挺好,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533799,2026-04-08 15:43:23,2026-04-08 15:47:51,4分27秒,61.135.212.183,pc,43,43,总部在线,4,4,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,暂时没有,产品是比较全面的,不好开班，没法评价,比较全面，针对性强,是否有没有一对一的套餐（带重读保障）定价更低一些,分的很细,课时多，阶段划分多，收费贵,拆分细,学生定位上不好推荐,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533801,2026-04-08 15:45:12,2026-04-08 15:47:04,1分52秒,221.224.34.222,pc,21,21,苏州,5,5,1,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,很好,培训,很好,服务,很好,服务,很好,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,比较及时,,,,
1533803,2026-04-08 15:46:19,2026-04-08 15:48:31,2分11秒,61.135.212.183,pc,43,43,总部在线,4,4,2,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,都很好,无,都很好,无,都很好,无,都很好,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533804,2026-04-08 15:46:49,2026-04-08 15:48:39,1分49秒,42.94.215.113,iPhone,36,36,兰州,5,5,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,学生满意,学生满意,,总部老师配合迅速,暂无,新产品上线快,暂无,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533806,2026-04-08 15:48:47,2026-04-08 15:51:28,2分41秒,218.28.159.54,pc,35,35,洛阳,5,5,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,符合,认可,,保持,针对高考设班,保持,测试匹配进班,保持,保持,保持,保持,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533807,2026-04-08 15:49:34,2026-04-08 15:55:07,5分33秒,61.181.103.242,pc,12,12,天津,5,4,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533808,2026-04-08 15:49:40,2026-04-08 15:51:45,2分4秒,61.181.103.242,pc,12,12,天津,5,5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,满意,,,全面,暂无,合理,暂无,优秀,暂无,优秀,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533811,2026-04-08 15:53:42,2026-04-08 15:58:15,4分33秒,61.135.212.184,iPhone,2,2,北京,5,4,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,教学，课程设置都在与时俱进,整体都比较认可,,叶老师的工作很棒，及时发现问题，解决问题，及时更新产品,教务服务建议更加全面，负责，细化,设置合理,无,挺好,无,不错,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
